        Frequency / GHz                S1,1/abs,dB
                  1.0805                      -3.6429272
                  1.0814                      -3.6424156
                  1.0823                      -3.6419079
                  1.0832                      -3.6414041
                  1.0841                      -3.6409041
                   1.085                      -3.6404079
                  1.0859                      -3.6399154
                  1.0868                      -3.6394267
                  1.0877                      -3.6389418
                  1.0886                      -3.6384608
                  1.0895                      -3.6379837
                  1.0904                      -3.6375101
                  1.0913                      -3.6370403
                  1.0922                      -3.6365742
                  1.0931                      -3.6361119
                   1.094                      -3.6356532
                  1.0949                      -3.6351982
                  1.0958                       -3.634747
                  1.0967                      -3.6342995
                  1.0976                      -3.6338558
                  1.0985                      -3.6334156
                  1.0994                       -3.632979
                  1.1003                      -3.6325462
                  1.1012                      -3.6321171
                  1.1021                      -3.6316917
                   1.103                      -3.6312698
                  1.1039                      -3.6308514
                  1.1048                      -3.6304368
                  1.1057                      -3.6300258
                  1.1066                      -3.6296184
                  1.1075                      -3.6292148
                  1.1084                      -3.6288146
                  1.1093                       -3.628418
                  1.1102                       -3.628025
                  1.1111                      -3.6276355
                   1.112                      -3.6272496
                  1.1129                      -3.6268672
                  1.1138                      -3.6264884
                  1.1147                      -3.6261132
                  1.1156                      -3.6257415
                  1.1165                      -3.6253734
                  1.1174                      -3.6250086
                  1.1183                      -3.6246474
                  1.1192                      -3.6242898
                  1.1201                      -3.6239358
                   1.121                      -3.6235851
                  1.1219                      -3.6232378
                  1.1228                      -3.6228941
                  1.1237                      -3.6225539
                  1.1246                      -3.6222172
                  1.1255                       -3.621884
                  1.1264                      -3.6215542
                  1.1273                      -3.6212278
                  1.1282                      -3.6209049
                  1.1291                      -3.6205854
                    1.13                      -3.6202693
                  1.1309                      -3.6199565
                  1.1318                      -3.6196472
                  1.1327                      -3.6193414
                  1.1336                       -3.619039
                  1.1345                      -3.6187399
                  1.1354                      -3.6184441
                  1.1363                      -3.6181518
                  1.1372                      -3.6178629
                  1.1381                      -3.6175774
                   1.139                      -3.6172952
                  1.1399                      -3.6170162
                  1.1408                      -3.6167407
                  1.1417                      -3.6164685
                  1.1426                      -3.6161997
                  1.1435                      -3.6159343
                  1.1444                      -3.6156722
                  1.1453                      -3.6154133
                  1.1462                      -3.6151578
                  1.1471                      -3.6149055
                   1.148                      -3.6146565
                  1.1489                      -3.6144108
                  1.1498                      -3.6141684
                  1.1507                      -3.6139293
                  1.1516                      -3.6136935
                  1.1525                       -3.613461
                  1.1534                      -3.6132316
                  1.1543                      -3.6130055
                  1.1552                      -3.6127827
                  1.1561                      -3.6125632
                   1.157                      -3.6123469
                  1.1579                      -3.6121337
                  1.1588                      -3.6119237
                  1.1597                      -3.6117171
                  1.1606                      -3.6115137
                  1.1615                      -3.6113136
                  1.1624                      -3.6111166
                  1.1633                      -3.6109227
                  1.1642                      -3.6107321
                  1.1651                      -3.6105446
                   1.166                      -3.6103603
                  1.1669                       -3.610179
                  1.1678                      -3.6100011
                  1.1687                      -3.6098263
                  1.1696                      -3.6096547
                  1.1705                      -3.6094862
                  1.1714                      -3.6093207
                  1.1723                      -3.6091585
                  1.1732                      -3.6089994
                  1.1741                      -3.6088435
                   1.175                      -3.6086907
                  1.1759                      -3.6085408
                  1.1768                      -3.6083941
                  1.1777                      -3.6082505
                  1.1786                      -3.6081101
                  1.1795                      -3.6079729
                  1.1804                      -3.6078387
                  1.1813                      -3.6077075
                  1.1822                      -3.6075793
                  1.1831                      -3.6074543
                   1.184                      -3.6073323
                  1.1849                      -3.6072132
                  1.1858                      -3.6070973
                  1.1867                      -3.6069845
                  1.1876                      -3.6068748
                  1.1885                       -3.606768
                  1.1894                      -3.6066641
                  1.1903                      -3.6065634
                  1.1912                      -3.6064657
                  1.1921                      -3.6063711
                   1.193                      -3.6062794
                  1.1939                      -3.6061906
                  1.1948                      -3.6061048
                  1.1957                      -3.6060221
                  1.1966                      -3.6059424
                  1.1975                      -3.6058658
                  1.1984                       -3.605792
                  1.1993                      -3.6057212
                  1.2002                      -3.6056533
                  1.2011                      -3.6055884
                   1.202                      -3.6055264
                  1.2029                      -3.6054673
                  1.2038                      -3.6054112
                  1.2047                      -3.6053581
                  1.2056                       -3.605308
                  1.2065                      -3.6052607
                  1.2074                      -3.6052162
                  1.2083                      -3.6051748
